Number,Author,Date,Topic,Shorts,Link,DateTime
1,Ася Карпова,18.02.2025 в 16:57,«На уровне o1-pro» и «немного лучше DeepSeek»: первые впечатления от модели Grok 3 от xAI ,Глава компании Илон Маск назвал Grok 3 «самым умным ИИ на Земле».,https://vc.ru/ai/1819171-na-urovne-o1-pro-i-nemnogo-luchshe-deepseek-pervye-vpechatleniya-ot-modeli-grok-3-ot-xai,2025-02-18 19:09:23
2,Таня Боброва,18.02.2025 в 15:39,Huawei анонсировала старт продаж «раскладушки» с тремя экранами Mate XT за пределами Китая — в России открыли предзаказы по цене 340 тысяч рублей ,На презентации компания объявила цене в €3499.,https://vc.ru/tech/1819978-huawei-matext,2025-02-18 19:09:25
3,JVO.ru,18.02.2025 в 15:14,Внутренняя реклама на Wildberries: виды и особенности запуска ,Для высоких продаж на Wildberries недостаточно просто разместить товар — необходимо постоянно продвигать его среди множества продуктов.,https://vc.ru/marketplace/1819841-vnutrennyaya-reklama-na-wildberries-vidy-i-osobennosti-zapuska,2025-02-18 19:09:26
1,Полина Лааксо,18.02.2025 в 19:25,The New York Times «одобрило» использование ИИ в новостном и продуктовом отделах — Semafor,Издание задумалось об этом ещё в 2024 году.,https://vc.ru/ai/1820574-the-new-york-times-odobrilo-ispolzovanie-ii-v-novostnom-i-produktovom-otdelah-semafor,2025-02-18 20:06:23
2,Никита Якушкин,18.02.2025 в 19:24,Самые упоминаемые нейросети в 2025 году,"С помощью системы “Медиалогия” был проведен анализ того, как появление DeepSeek-R1 повлияло на обсуждение нейросетей в социальных сетях в 2025 году. Результаты исследования показывают, что текстовые и визуальные нейросети остаются в центре внимания пользователей, при этом ChatGPT сохраняет лидерство, а DeepSeek стремительно набирает популярность.",https://vc.ru/social/1820639-samye-upominaemye-neiroseti-v-2025-godu,2025-02-18 20:06:24
3,Николай Вертий,18.02.2025 в 19:21,"Ушёл из найма в 32 года. Жена (в декрете), 2 детей, кредиты, накоплений 0 руб. Пост-знакомство.","Привет привет, меня зовут Николай Вертий, сейчас я предприниматель и владелец маркетингового агентства 360-DIGITAL, совсем недавно я работал на заводе в Липецке и история не про успешный успех, не про то как я был никем и стал мульти-мульёнером, не будет фото с геликом и квартирой в москоу-сити, есть реальная история...(многа букф)...",https://vc.ru/life/1816026-ushel-iz-naima-v-32-goda-zhena-v-dekrete-2-detei-kredity-nakoplenii-0-rub-post-znakomstvo,2025-02-18 20:06:25
4,Наталия Сармонт,18.02.2025 в 19:20,Почему отделы контента и SMM в онлайн-школах тонут в хаосе?,Absent,https://vc.ru/social/1820647-pochemu-otdely-kontenta-i-smm-v-onlain-shkolah-tonut-v-haose,2025-02-18 20:06:26
5,Aifory Pro,18.02.2025 в 19:11,Где купить криптовалюту в России за рубли в 2025 году: безопасные и официальные способы для новичков,"Криптовалюта продолжает набирать популярность, и многие россияне интересуются, где можно безопасно купить цифровые активы за рубли. С 2025 года ужесточились правила регулирования, но все еще остаются доступные, выгодные и официальные способы приобретения криптовалюты. В этой статье разберем все актуальные методы покупки, их особенности, преимуществ…",https://vc.ru/crypto/1820629-gde-kupit-kriptovalyutu-v-rossii-za-rubli-v-2025-godu-bezopasnye-i-oficialnye-sposoby-dlya-novichkov,2025-02-18 20:06:28
6,Осторожный инвестор,18.02.2025 в 19:06,Актуальный состав моего инвестиционного портфеля. Февраль 2025.,По традиции указываю активы совокупно по всем счетам в процентах к общему объему портфеля (но с определенными округлениями).Предыдущий отчет о составе Портфеля на январь 2025 смотрите по ссылке.,https://vc.ru/invest/1820609-aktualnyi-sostav-moego-investicionnogo-portfelya-fevral-2025,2025-02-18 20:06:29
7,"Настя Ланская:Воронки, продажи",18.02.2025 в 19:04,Трипваерные воронки: новый тренд или очередной разводняк?,"Я реально не догоняю, почему столько шума вокруг этого инструмента? Вы в курсе?",https://vc.ru/marketing/1820616-tripvaernye-voronki-novyi-trend-ili-ocherednoi-razvodnyak,2025-02-18 20:06:30
